[2025-05-19 22:35:03] [INFO    ] discord.client: logging in using static token
[2025-05-19 22:35:03] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-19 22:35:03] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-19 22:35:03] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1373946304861966347', 'username': 'Jack Bot', 'avatar': 'a8e885223f24d5ba156d55257a5630f5', 'discriminator': '8208', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-19 22:35:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-19 22:35:04] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-19 22:35:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1373946304861966347', 'name': 'Jack Bot', 'icon': 'a8e885223f24d5ba156d55257a5630f5', 'description': '', 'type': None, 'bot': {'id': '1373946304861966347', 'username': 'Jack Bot', 'avatar': 'a8e885223f24d5ba156d55257a5630f5', 'discriminator': '8208', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'fb3808750e367acb644aa2f09fb8c83e2f128cc184904348de91e5d992a07634', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '669138482396004362', 'username': 'rargoz', 'avatar': '07ec2755391bb18bf3658bae58dedb75', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'rargoz', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-19 22:35:04] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-19 22:35:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-2js6",{"micros":0.0}]']}}
[2025-05-19 22:35:04] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-19 22:35:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-19 22:35:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Jack Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1373946304861966347', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8208', 'clan': None, 'bot': True, 'avatar': 'a8e885223f24d5ba156d55257a5630f5'}, 'session_type': 'normal', 'session_id': '325df4a8b23466cf38479fa73aa043da', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1072557845494644866'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1373946304861966347', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-2js6",{"micros":73100,"calls":["id_created",{"micros":638,"calls":[]},"session_lookup_time",{"micros":973,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-83",{"micros":71199,"calls":["start_session",{"micros":42569,"calls":["discord-api-rpc-6c744fbcb7-4grnd",{"micros":35765,"calls":["get_user",{"micros":6451},"get_guilds",{"micros":4052},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":0},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":956},"apex_user_experiments",{"micros":4},"user_activities",{"micros":2}]}]},"starting_guild_connect",{"micros":39,"calls":[]},"presence_started",{"micros":8832,"calls":[]},"guilds_started",{"micros":67,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":19655,"calls":[]},"connect_finished",{"micros":19660,"calls":[]},"build_ready",{"micros":16,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":14,"calls":[]}]}]}]']}}
[2025-05-19 22:35:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-19 22:35:05] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 325df4a8b23466cf38479fa73aa043da).
[2025-05-19 22:35:05] [DEBUG   ] discord.client: Dispatching event connect
